0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
1.0000,53.1626,20.4922,82.3042,2.0000,-19.6528,-31.2149,-0.6501,4.0000,163.8257,-32.4601,-146.0085,3.0000,32.3110,-51.4495,-47.8524,5.0000,10.8686,10.2879,27.4177,7.0000,-60.4005,2.3623,-6.0908,8.0000,-32.1729,6.7129,95.0061,10.0000,131.6226,-54.6858,179.9222,9.0000,-15.8117,33.7255,-70.8196,11.0000,7.0523,-52.6619,19.2254
